Date,Matches_Played,Win_Rate,Wins,Three_Crown_Wins,Two_Crown_Wins,One_Crown_Wins,Crowns_Won,Hours_Played,MergeTrophy,Mood
1 Oct 2025,10,0.5,5,4,1,0,10,1,323,3
2 Oct 2025,11,0.55,6,5,1,0,11,1.2,324,3
3 Oct 2025,12,0.5,6,5,1,0,12,1.1,324,3
4 Oct 2025,13,0.54,7,6,1,0,13,1.3,325,3
5 Oct 2025,12,0.58,7,6,1,0,13,1.5,326,3
6 Oct 2025,11,0.52,6,5,1,0,11,1,326,3
7 Oct 2025,12,0.56,7,6,1,0,13,1.2,327,3
8 Oct 2025,13,0.6,8,7,1,0,14,1.4,327,4
9 Oct 2025,12,0.55,7,6,1,0,13,1.3,328,3
10 Oct 2025,14,0.57,8,7,1,0,15,1.6,328,4
11 Oct 2025,13,0.62,8,7,1,0,15,1.5,329,4
12 Oct 2025,12,0.58,7,6,1,0,13,1.5,329,3
13 Oct 2025,14,0.63,9,7,2,0,16,1.6,330,4
14 Oct 2025,13,0.61,8,7,1,0,15,1.4,331,4
15 Oct 2025,12,0.6,7,6,1,0,14,1.3,332,3
16 Oct 2025,14,0.67,9,8,1,0,17,1.8,333,4
17 Oct 2025,13,0.69,9,8,1,0,18,1.7,334,4
18 Oct 2025,14,0.7,10,9,1,0,19,1.9,334,4
19 Oct 2025,13,0.68,9,8,1,0,18,1.7,335,4
20 Oct 2025,15,0.72,11,9,2,0,21,2,336,5
21 Oct 2025,14,0.74,10,9,1,0,20,1.9,336,5
22 Oct 2025,16,0.75,12,10,2,0,23,2.1,337,5
23 Oct 2025,15,0.78,12,10,2,0,24,2,338,5
24 Oct 2025,14,0.76,11,9,2,0,22,1.8,338,4
25 Oct 2025,13,0.73,10,8,2,0,21,1.7,339,4
26 Oct 2025,12,0.75,9,8,1,0,20,1.6,339,5
27 Oct 2025,14,0.77,11,9,2,0,23,2,340,5
28 Oct 2025,15,0.79,12,10,2,0,25,2.1,340,5
29 Oct 2025,13,0.78,10,9,1,0,23,1.8,341,5
30 Oct 2025,14,0.8,11,9,2,0,26,2,342,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
